IN_x;IN_y;OUT_x;OUT_y
2023-01-14 13:57:59:415;10608;2023-01-14 13:57:59:415;5204.1
2023-01-14 13:57:59:446;10434;2023-01-14 13:57:59:446;6977.1
2023-01-14 13:57:59:462;10391;2023-01-14 13:57:59:462;8930.7
2023-01-14 13:57:59:477;10566;2023-01-14 13:57:59:477;10173.2
2023-01-14 13:58:01:968;608;2023-01-14 13:58:01:968;9751.4
2023-01-14 13:58:01:983;581;2023-01-14 13:58:01:983;7009.8
2023-01-14 13:58:02:124;310;2023-01-14 13:58:02:124;3561.8
2023-01-14 13:58:02:139;268;2023-01-14 13:58:02:139;1165.2
2023-01-14 13:58:02:139;298;2023-01-14 13:58:02:139;23.2
2023-01-14 13:58:02:139;262;2023-01-14 13:58:02:139;-256.6
2023-01-14 13:58:02:155;304;2023-01-14 13:58:02:155;-139.7
2023-01-14 13:58:02:170;340;2023-01-14 13:58:02:170;72
2023-01-14 13:58:02:186;323;2023-01-14 13:58:02:186;242
2023-01-14 13:58:02:702;524;2023-01-14 13:58:02:702;351.6
